filename,time_rel(sec)
xa.s12.00.mhz.1972-02-28HR00_evid00192,45556.28759
xa.s12.00.mhz.1972-05-15HR00_evid00223,1711.058206
xa.s12.00.mhz.1972-05-15HR00_evid00223,30115.79689
xa.s12.00.mhz.1972-05-15HR00_evid00223,62380.86578
xa.s12.00.mhz.1972-05-19HR00_evid00228,45240.27949
xa.s12.00.mhz.1972-05-19HR00_evid00228,67281.13274
xa.s12.00.mhz.1972-11-14HR00_evid00331,69729.4622
xa.s12.00.mhz.1972-11-19HR00_evid00335,66332.85987
xa.s12.00.mhz.1972-12-02HR00_evid00341,28732.93749
xa.s12.00.mhz.1972-12-02HR00_evid00341,78224.89182
xa.s12.00.mhz.1972-12-06HR00_evid00342,50865.49399
xa.s12.00.mhz.1972-12-15HR00_evid00349,24861.66431
xa.s12.00.mhz.1973-03-12HR00_evid00384,74421.53683
xa.s12.00.mhz.1973-04-23HR00_evid00399,50065.72749
xa.s12.00.mhz.1973-08-08HR00_evid00437,62252.67363
xa.s12.00.mhz.1973-10-03HR03_evid00461,59502.39514
xa.s12.00.mhz.1973-10-10HR00_evid00463,10918.89112
xa.s12.00.mhz.1973-11-22HR00_evid00475,49928.99776
xa.s12.00.mhz.1974-03-14HR00_evid00506,27093.4271
xa.s12.00.mhz.1974-03-30HR00_evid00512,71064.94961
xa.s12.00.mhz.1974-05-09HR00_evid00522,48467.20672
xa.s12.00.mhz.1974-06-30HR00_evid00543,63809.16156
xa.s12.00.mhz.1974-07-25HR05_evid00553,32954.07314
xa.s12.00.mhz.1974-10-02HR00_evid00572,48422.5083
xa.s12.00.mhz.1974-10-02HR00_evid00572,74981.49274
xa.s12.00.mhz.1975-04-21HR00_evid00638,7192.99499
xa.s12.00.mhz.1975-05-16HR00_evid00651,80201.3004
xa.s12.00.mhz.1975-05-20HR00_evid00652,62871.14043
xa.s12.00.mhz.1975-06-15HR00_evid00660,14000.83777
xa.s12.00.mhz.1975-06-17HR00_evid00662,44444.81936
xa.s12.00.mhz.1977-04-11HR00_evid00915,48077.73817
xa.s12.00.mhz.1977-04-24HR00_evid00923,58231.90846
xa.s12.00.mhz.1977-04-26HR00_evid00924,25543.59412
xa.s12.00.mhz.1977-04-26HR00_evid00924,36766.37526
xa.s12.00.mhz.1977-04-26HR00_evid00924,80279.8742
xa.s12.00.mhz.1977-07-19HR00_evid00991,74391.69481
xa.s12.00.mhz.1977-09-13HR00_evid01012,73924.05939
